fdc_id,g_per_ml,source_portion
2706019,0.5625,"1 cup, cooked, diced"
2706020,0.5625,"1 cup, cooked, diced"
2706021,0.5625,"1 cup, cooked, diced"
2706022,0.5625,"1 cup, cooked, diced"
2706023,0.5625,"1 cup, cooked, diced"
2706024,0.5625,"1 cup, cooked, diced"
2706025,0.5625,"1 cup, cooked, diced"
2706026,0.5625,"1 cup, cooked, diced"
2706027,0.5625,"1 cup, cooked, diced"
2706028,0.5625,"1 cup, cooked, diced"
2706029,0.5625,"1 cup, cooked, diced"
2706030,0.5625,"1 cup, cooked, diced"
2706031,0.5625,"1 cup, cooked, diced"
2706032,0.5625,"1 cup, cooked, diced"
2706033,0.5625,"1 cup, cooked, diced"
2706034,0.5625,"1 cup, cooked, diced"
2706035,0.5625,"1 cup, cooked, diced"
2706036,0.5625,"1 cup, cooked, diced"
2706037,0.5625,"1 cup, cooked, diced"
2706038,0.5625,"1 cup, cooked, diced"
2706039,0.5625,"1 cup, cooked, diced"
2706040,0.5625,"1 cup, cooked, diced"
2706041,0.6875,"1 cup, cooked, diced"
2706042,0.6875,"1 cup, cooked, diced"
2706043,0.5625,"1 cup, cooked, diced"
2706044,0.5625,"1 cup, cooked, diced"
2706045,0.5625,"1 cup, cooked, diced"
2706046,0.5625,"1 cup, cooked, diced"
2706047,0.5625,"1 cup, cooked, diced"
2706048,0.5625,"1 cup, cooked, diced"
2706049,0.5625,"1 cup, cooked, diced"
2706050,0.5625,"1 cup, cooked, diced"
2706051,0.5625,"1 cup, cooked, diced"
2706052,0.5625,"1 cup, cooked, diced"
2706053,0.5625,"1 cup, cooked, diced"
2706054,0.5625,"1 cup, cooked, diced"
2706055,0.5625,"1 cup, cooked, diced"
2706086,0.8542,1 cup
2706087,0.5625,"1 cup, diced"
2706088,1.0374,1 cubic inch
2706089,1.0374,1 cubic inch
2706090,1.0374,1 cubic inch
2706091,0.5417,"1 cup, cooked"
2706092,0.5833,1 cup
2706093,0.5833,1 cup
2706094,0.5833,1 cup
2706095,0.5833,1 cup
2706096,0.5833,1 cup
2706097,0.5833,1 cup
2706098,0.5833,1 cup
2706099,0.5833,1 cup
2706100,0.5833,1 cup
2706101,0.5833,1 cup
2706102,0.5833,1 cup
2706103,0.5833,1 cup
2706104,0.5625,"1 cup, diced, cooked"
2706105,0.5625,"1 cup, cooked, diced"
2706106,0.5625,"1 cup, diced, cooked"
2706107,0.5625,"1 cup, cooked, diced"
2706108,0.5625,"1 cup, diced, cooked"
2706109,0.5625,"1 cup, cooked, diced"
2706110,0.5625,"1 cup, diced, cooked"
2706111,0.5625,"1 cup, cooked, diced"
2706112,0.5625,"1 cup, diced, cooked"
2706113,0.5625,"1 cup, cooked, diced"
2706114,0.5625,"1 cup, diced, cooked"
2706115,0.5625,"1 cup, cooked, diced"
2706116,0.5625,"1 cup, diced, cooked"
2706117,0.5625,"1 cup, cooked, diced"
2706118,0.5625,"1 cup, diced, cooked"
2706119,0.5625,"1 cup, cooked, diced"
2706120,0.5625,"1 cup, cooked, diced"
2706121,0.5625,"1 cup, cooked, diced"
2706122,0.5625,"1 cup, diced, cooked"
2706123,0.5625,"1 cup, cooked, diced"
2706124,0.5625,"1 cup, diced, cooked"
2706125,0.5625,"1 cup, diced, cooked"
2706126,0.5625,"1 cup, cooked, diced"
2706127,0.5625,"1 cup, diced, cooked"
2706128,0.5625,"1 cup, cooked, diced"
2706129,0.5625,"1 cup, diced, cooked"
2706132,0.5625,"1 cup, drained"
2706133,0.5417,"1 cup, cooked"
2706134,0.5833,1 cup
2706135,0.3417,"1 cup, pieces"
2706136,0.3417,"1 cup, pieces"
2706137,0.5833,"1 cup, cooked, diced"
2706138,0.5833,"1 cup, cooked, diced"
2706139,0.5833,"1 cup, cooked, diced"
