recipe_id,ingredient_id,ingredient_index,portion_factor,actual_measure,measure_only
52,415,16,1,20 g,? cup
52,663,17,1,,
53,10,1,1,250 g,2 cups
53,522,2,1,,1 teaspoon
53,364,3,1,180 ml,? cup
53,397,4,1,15 ml,1 tablespoon
54,251,1,1,,2 cloves
54,197,2,1,6 g,2 teaspoon
54,180,3,1,6 g,2 teaspoon
54,160,4,1,,? teaspoon
54,501,5,1,,1 teaspoon
54,411,6,1,,1 teaspoon
54,397,7,1,60 ml,? cup
54,522,8,1,10 g,2 teaspoon
54,211,9,1,,2 medium
54,509,10,1,,
55,490,1,1,,2 large
55,499,2,1,,1 large
55,4,3,1,170 g,1 cup
55,251,4,1,,4 cloves
55,333,5,1,180 ml,? cup
55,19,6,1,120 ml,? cup
55,664,7,1,,
55,411,8,1,8 g,1 tablespoon
55,403,9,1,2 g,
55,36,10,1,,
55,525,11,1,,
55,220,12,1,120 ml,? cup
55,81,13,1,1.1 to 1.4 kg,
55,522,14,1,10 g,2 teaspoon
55,63,15,1,6 g,2 teaspoon
55,253,16,1,6 g,2 teaspoon
55,427,17,1,240 to 480 ml,
56,3,1,1,,
56,615,2,1,360 ml,
56,333,3,1,60 ml,4 tablespoon
56,251,4,1,18 g,2 tablespoon
56,522,5,1,,1 teaspoon
56,411,6,1,,1 teaspoon
56,460,7,1,1.8 kg,
58,397,1,1,,1 teaspoon
58,78,2,1,,
58,324,3,1,,
58,427,4,1,,
58,195,5,1,,
58,175,6,1,,
58,549,7,1,40 g,? cup
59,109,1,1,120 ml,? cup
59,399,2,1,,1 medium
59,251,3,1,6 g,2 teaspoon
59,260,4,1,,1 teaspoon
59,162,5,1,2- to 4-inch [6- to 10-cm],
59,412,6,1,,1 teaspoon
59,118,7,1,,
59,202,8,1,24 g,3 tablespoon
59,523,9,1,,
59,597,10,1,,2 medium
59,86,11,1,450 g,
59,134,12,1,360 ml,
59,660,13,1,13-mm to 3-cm],2 medium
59,150,14,1,15-oz [420-g],1 can
59,89,15,1,,
60,284,1,1,450 g,
60,333,2,1,30 ml,2 tablespoon
60,251,3,1,,3 cloves
60,522,4,1,,1 teaspoon
60,63,5,1,,1 teaspoon
60,615,6,1,15 ml,1 tablespoon
60,638,7,1,,2 medium
60,597,8,1,,4 medium
60,311,9,1,,2 medium
60,396,10,1,75 g,? cup
60,36,11,1,,
