recipe_id,recipe_name,local_path,source_url,status
288,BEST BOBOTIE,assets/photos/288.jpg,https://www.allrecipes.com/recipe/157881/best-bobotie/,ok
290,EGYPTIAN KOSHARY,assets/photos/290.jpg,https://www.allrecipes.com/recipe/173422/egyptian-koshary/,ok
291,MOROCCAN CHICKEN,assets/photos/291.jpg,https://www.allrecipes.com/recipe/18182/moroccan-chicken/,ok
292,OM ALI,assets/photos/292.jpg,https://www.allrecipes.com/recipe/19898/om-ali/,ok
293,BEGHRIR (MOROCCAN PANCAKES),assets/photos/293.jpg,https://www.allrecipes.com/recipe/206740/beghrir-moroccan-pancakes/,ok
294,MOROCCAN SHABBAT FISH,assets/photos/294.jpg,https://www.allrecipes.com/recipe/213243/moroccan-shabbat-fish/,ok
296,SOUTH AFRICAN BROWN PUDDING,assets/photos/296.jpg,https://www.allrecipes.com/recipe/214766/south-african-brown-pudding/,ok
297,MAKE-AHEAD VEGETARIAN MOROCCAN STEW,assets/photos/297.jpg,https://www.allrecipes.com/recipe/217109/make-ahead-vegetarian-moroccan-stew/,ok
298,MOROCCAN CHICKPEA STEW,assets/photos/298.jpg,https://www.allrecipes.com/recipe/217947/moroccan-chickpea-stew/,ok
300,EGYPTIAN LENTIL SOUP,assets/photos/300.jpg,https://www.allrecipes.com/recipe/222661/egyptian-lentil-soup/,ok
301,AFRICAN CABBAGE STEW,assets/photos/301.jpg,https://www.allrecipes.com/recipe/228662/african-cabbage-stew/,ok
302,COUSCOUS WITH OLIVES AND SUN-DRIED TOMATO,assets/photos/302.jpg,https://www.allrecipes.com/recipe/232210/couscous-with-olives-and-sun-dried-tomato/,ok
303,TRADITIONAL BABA GHANOUSH,assets/photos/303.jpg,https://www.allrecipes.com/recipe/236310/traditional-baba-ghanoush/,ok
304,BERBERE (ETHIOPIAN SPICE),assets/photos/304.jpg,https://www.allrecipes.com/recipe/236741/berbere-ethiopian-spice/,ok
305,AFRICAN SWEET POTATO STEW,assets/photos/305.jpg,https://www.allrecipes.com/recipe/245682/african-sweet-potato-stew/,ok
306,SOUTH AFRICAN TRADITIONAL VETKOEK (FRIED BREAD),assets/photos/306.jpg,https://www.allrecipes.com/recipe/245683/south-african-traditional-vetkoek-fried-bread/,ok
307,SABAAYAD (SOMALI FLATBREAD),assets/photos/307.jpg,https://www.allrecipes.com/recipe/246109/sabaayad-somali-flatbread/,ok
308,DORO WAT: ETHIOPIAN CHICKEN DISH,assets/photos/308.jpg,https://www.allrecipes.com/recipe/246340/doro-wat-ethiopian-chicken-dish/,ok
309,TA'AMEYA (EGYPTIAN FALAFEL),assets/photos/309.jpg,https://www.allrecipes.com/recipe/254743/taameya-egyptian-falafel/,ok
310,THE PERFECT EGYPTIAN RICE WITH VERMICELLI,assets/photos/310.jpg,https://www.allrecipes.com/recipe/255137/the-perfect-egyptian-rice-with-vermicelli/,ok
311,NIGERIAN SUYA,assets/photos/311.jpg,https://www.allrecipes.com/recipe/255142/nigerian-suya/,ok
312,BERBERE SPICE BLEND,assets/photos/312.jpg,https://www.allrecipes.com/recipe/255863/berbere-spice-blend/,ok
313,GINGER MALVA PUDDING,assets/photos/313.jpg,https://www.allrecipes.com/recipe/256679/ginger-malva-pudding/,ok
314,ALGERIAN COUSCOUS,assets/photos/314.jpg,https://www.allrecipes.com/recipe/256729/algerian-couscous/,ok
315,NIGERIAN JOLLOF RICE WITH CHICKEN AND FRIED PLANTAINS,assets/photos/315.jpg,https://www.allrecipes.com/recipe/259978/nigerian-jollof-rice-with-chicken-and-fried-plantains/,ok
316,CHAPATI (EAST AFRICAN BREAD),assets/photos/316.jpg,https://www.allrecipes.com/recipe/262203/chapati-east-african-bread/,ok
317,MANDAZI (AFRICAN DONUTS),assets/photos/317.jpg,https://www.allrecipes.com/recipe/262205/mandazi-african-donuts/,ok
318,VEGAN CHICKPEA CURRY WITHOUT COCONUT MILK,assets/photos/318.jpg,https://www.allrecipes.com/recipe/263337/vegan-chickpea-curry-without-coconut-milk/,ok
319,INJERA (ETHIOPIAN TEFF BREAD),assets/photos/319.jpg,https://www.allrecipes.com/recipe/264651/injera-ethiopian-teff-bread/,ok
320,HARISSA POWDER,assets/photos/320.jpg,https://www.allrecipes.com/recipe/276693/harissa-powder/,ok
321,MOROCCAN-SPICED PORK ROAST,assets/photos/321.jpg,https://www.allrecipes.com/recipe/277576/moroccan-spiced-pork-roast/,ok
322,MOROCCAN BEEF AND LENTIL STEW,assets/photos/322.jpg,https://www.allrecipes.com/recipe/278891/moroccan-beef-and-lentil-stew/,ok
323,HARISSA PASTE,assets/photos/323.jpg,https://www.allrecipes.com/recipe/279059/harissa-paste/,ok
324,AFRICAN CURRY,assets/photos/324.jpg,https://www.allrecipes.com/recipe/47439/african-curry/,ok
325,SAMBUSA,assets/photos/325.jpg,https://www.allrecipes.com/recipe/53603/sambusa/,ok
326,AFRICAN SWEET POTATO AND PEANUT SOUP,assets/photos/326.jpg,https://www.allrecipes.com/recipe/55207/african-sweet-potato-and-peanut-soup/,ok
327,SOUTH AFRICAN MALVAPOEDING (MARSHMALLOW PUDDING),assets/photos/327.jpg,https://www.allrecipes.com/recipe/58465/south-african-malvapoeding-marshmallow-pudding/,ok
328,FUFU,assets/photos/328.jpg,https://www.allrecipes.com/recipe/60516/fufu/,ok
329,TOMATO BREDIE,assets/photos/329.jpg,https://www.allrecipes.com/recipe/68735/tomato-bredie/,ok
330,HOMEMADE PERI PERI CHICKEN,assets/photos/330.jpg,https://www.allrecipes.com/recipe/72064/peri-peri-african-chicken/,ok
331,UMM ALI,assets/photos/331.jpg,https://www.allrecipes.com/recipe/73059/umm-ali/,ok
333,SOUTH AFRICAN MELKTERT (MILK TART),assets/photos/333.jpg,https://www.allrecipes.com/recipe/80160/south-african-melktert-milk-tart/,ok
334,SWEET AND NUTTY MOROCCAN COUSCOUS,assets/photos/334.jpg,https://www.allrecipes.com/recipe/81551/sweet-and-nutty-moroccan-couscous/,ok
335,MIDDLE EASTERN WHITE BEANS,assets/photos/335.jpg,https://www.allrecipes.com/recipe/82184/middle-eastern-white-beans/,ok
336,MOROCCAN HARIRA SOUP,assets/photos/336.jpg,https://www.allrecipes.com/recipe/8479335/moroccan-harira-soup/,ok
338,ACCRA BANANA,assets/photos/338.jpg,https://www.africanbites.com/accra-banana/,ok
339,ACCRA CASSAVA (KOUTI OR CASSAVA FRITTERS),assets/photos/339.jpg,https://www.africanbites.com/accra-cassavakouti-cassava-fritters/,ok
340,ACHU SOUP,assets/photos/340.jpg,https://www.africanbites.com/achu-soupyellow-soup-achu/,ok
341,AEBLESKIVER DANISH PANCAKES,assets/photos/341.jpg,https://www.africanbites.com/aebleskiver-danish-pancakes/,ok
342,AFANG SOUP,assets/photos/342.jpg,https://www.africanbites.com/afang-soupspinach-and-okazi-leaves/,ok
344,AFRICAN DOUGHNUT (DROP DOUGHNUT),assets/photos/344.jpg,https://www.africanbites.com/african-doughnut-drop-doughnut/,ok
345,NIGERIAN SCOTCH EGGS,assets/photos/345.jpg,https://www.africanbites.com/african-egg-rollafrican-scotch-eggs/,ok
346,AFRICAN FISH ROLLS (FISH PIES),assets/photos/346.jpg,https://www.africanbites.com/african-fish-rollfish-pie/,ok
347,AFRICAN FRIED CHICKEN AND PLANTAIN FRIES,assets/photos/347.jpg,https://www.africanbites.com/african-fried-chicken-plantain-fries/,ok
348,AFRICAN GRILL CHICKEN (KATI KATI),assets/photos/348.jpg,https://www.africanbites.com/african-grill-chickenkati-kati/,ok
349,AFRICAN MEAT PIES (BEEF EMPANADA),assets/photos/349.jpg,https://www.africanbites.com/african-meat-pie-beef-empanada/,ok
350,AFRICAN PEANUT STEW,assets/photos/350.jpg,https://www.africanbites.com/african-peanut-stew/,ok
351,AFRICAN PEPPER SAUCE,assets/photos/351.jpg,https://www.africanbites.com/african-pepper-sauce/,ok
352,AFRICAN CHICKEN PEPPER SOUP,assets/photos/352.jpg,https://www.africanbites.com/african-pepper-soupchicken/,ok
